100
1051.0,271.0,
355.0,0.0,
590.0,242.0,
730.0,310.0,
1044.0,670.0,
242.0,634.0,
960.0,488.0,
380.0,254.0,
290.0,301.0,
36.0,351.0,
390.0,650.0,
819.0,471.0,
123.0,258.0,
523.0,301.0,
3.0,131.0,
650.0,432.0,
113.0,314.0,
738.0,155.0,
1040.0,581.0,
80.0,450.0,
480.0,310.0,
738.0,356.0,
501.0,425.0,
416.0,554.0,
320.0,172.0,
531.0,675.0,
290.0,386.0,
359.0,0.0,
539.0,570.0,
518.0,337.0,
204.0,541.0,
317.0,533.0,
928.0,415.0,
790.0,199.0,
880.0,121.0,
904.0,259.0,
515.0,491.0,
496.0,455.0,
247.0,316.0,
351.0,278.0,
732.0,83.0,
521.0,107.0,
297.0,661.0,
422.0,320.0,
799.0,613.0,
408.0,671.0,
1026.0,59.0,
839.0,160.0,
621.0,651.0,
414.0,672.0,
718.0,604.0,
403.0,546.0,
812.0,547.0,
225.0,85.0,
550.0,251.0,
414.0,10.0,
418.0,113.0,
886.0,679.0,
997.0,61.0,
572.0,668.0,
272.0,283.0,
63.0,681.0,
474.0,373.0,
484.0,451.0,
632.0,326.0,
350.0,342.0,
623.0,288.0,
540.0,703.0,
395.0,287.0,
674.0,681.0,
577.0,4.0,
992.0,417.0,
349.0,95.0,
231.0,179.0,
755.0,7.0,
850.0,470.0,
583.0,493.0,
66.0,495.0,
16.0,105.0,
990.0,691.0,
705.0,251.0,
861.0,309.0,
673.0,394.0,
591.0,128.0,
661.0,287.0,
1054.0,503.0,
939.0,8.0,
953.0,274.0,
61.0,240.0,
174.0,246.0,
220.0,179.0,
318.0,90.0,
581.0,294.0,
292.0,686.0,
351.0,524.0,
109.0,674.0,
257.0,578.0,
577.0,614.0,
557.0,615.0,
576.0,694.0,
